"REF_DATE","GEO","DGUID","Prices","Seasonal adjustment","Estimates","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1990-01","Canada","2016A000011124","Chained (2017) dollars","Seasonally adjusted at annual rates","Final consumption expenditure","Dollars","81","millions","6","v62305723","1.1.1.1","892824","","","","0"
"1990-04","Canada","2016A000011124","Chained (2017) dollars","Seasonally adjusted at annual rates","Final consumption expenditure","Dollars","81","millions","6","v62305723","1.1.1.1","882793","","","","0"
"1990-07","Canada","2016A000011124","Chained (2017) dollars","Seasonally adjusted at annual rates","Final consumption expenditure","Dollars","81","millions","6","v62305723","1.1.1.1","888741","","","","0"
"1990-10","Canada","2016A000011124","Chained (2017) dollars","Seasonally adjusted at annual rates","Final consumption expenditure","Dollars","81","millions","6","v62305723","1.1.1.1","889602","","","","0"
"1991-01","Canada","2016A000011124","Chained (2017) dollars","Seasonally adjusted at annual rates","Final consumption expenditure","Dollars","81","millions","6","v62305723","1.1.1.1","875730","","","","0"
"1991-04","Canada","2016A000011124","Chained (2017) dollars","Seasonally adjusted at annual rates","Final consumption expenditure","Dollars","81","millions","6","v62305723","1.1.1.1","890979","","","","0"
"1991-07","Canada","2016A000011124","Chained (2017) dollars","Seasonally adjusted at annual rates","Final consumption expenditure","Dollars","81","millions","6","v62305723","1.1.1.1","888790","","","","0"
"1991-10","Canada","2016A000011124","Chained (2017) dollars","Seasonally adjusted at annual rates","Final consumption expenditure","Dollars","81","millions","6","v62305723","1.1.1.1","894499","","","","0"
"1992-01","Canada","2016A000011124","Chained (2017) dollars","Seasonally adjusted at annual rates","Final consumption expenditure","Dollars","81","millions","6","v62305723","1.1.1.1","895135","","","","0"
"1992-04","Canada","2016A000011124","Chained (2017) dollars","Seasonally adjusted at annual rates","Final consumption expenditure","Dollars","81","millions","6","v62305723","1.1.1.1","896231","","","","0"
"1992-07","Canada","2016A000011124","Chained (2017) dollars","Seasonally adjusted at annual rates","Final consumption expenditure","Dollars","81","millions","6","v62305723","1.1.1.1","899540","","","","0"
"1992-10","Canada","2016A000011124","Chained (2017) dollars","Seasonally adjusted at annual rates","Final consumption expenditure","Dollars","81","millions","6","v62305723","1.1.1.1","906145","","","","0"
"1993-01","Canada","2016A000011124","Chained (2017) dollars","Seasonally adjusted at annual rates","Final consumption expenditure","Dollars","81","millions","6","v62305723","1.1.1.1","906960","","","","0"
"1993-04","Canada","2016A000011124","Chained (2017) dollars","Seasonally adjusted at annual rates","Final consumption expenditure","Dollars","81","millions","6","v62305723","1.1.1.1","910428","","","","0"
"1993-07","Canada","2016A000011124","Chained (2017) dollars","Seasonally adjusted at annual rates","Final consumption expenditure","Dollars","81","millions","6","v62305723","1.1.1.1","911544","","","","0"
"1993-10","Canada","2016A000011124","Chained (2017) dollars","Seasonally adjusted at annual rates","Final consumption expenditure","Dollars","81","millions","6","v62305723","1.1.1.1","912951","","","","0"
"1994-01","Canada","2016A000011124","Chained (2017) dollars","Seasonally adjusted at annual rates","Final consumption expenditure","Dollars","81","millions","6","v62305723","1.1.1.1","919626","","","","0"
"1994-04","Canada","2016A000011124","Chained (2017) dollars","Seasonally adjusted at annual rates","Final consumption expenditure","Dollars","81","millions","6","v62305723","1.1.1.1","923985","","","","0"
"1994-07","Canada","2016A000011124","Chained (2017) dollars","Seasonally adjusted at annual rates","Final consumption expenditure","Dollars","81","millions","6","v62305723","1.1.1.1","927114","","","","0"
"1994-10","Canada","2016A000011124","Chained (2017) dollars","Seasonally adjusted at annual rates","Final consumption expenditure","Dollars","81","millions","6","v62305723","1.1.1.1","933468","","","","0"
"1995-01","Canada","2016A000011124","Chained (2017) dollars","Seasonally adjusted at annual rates","Final consumption expenditure","Dollars","81","millions","6","v62305723","1.1.1.1","932912","","","","0"
"1995-04","Canada","2016A000011124","Chained (2017) dollars","Seasonally adjusted at annual rates","Final consumption expenditure","Dollars","81","millions","6","v62305723","1.1.1.1","937272","","","","0"
"1995-07","Canada","2016A000011124","Chained (2017) dollars","Seasonally adjusted at annual rates","Final consumption expenditure","Dollars","81","millions","6","v62305723","1.1.1.1","942495","","","","0"
"1995-10","Canada","2016A000011124","Chained (2017) dollars","Seasonally adjusted at annual rates","Final consumption expenditure","Dollars","81","millions","6","v62305723","1.1.1.1","940362","","","","0"
"1996-01","Canada","2016A000011124","Chained (2017) dollars","Seasonally adjusted at annual rates","Final consumption expenditure","Dollars","81","millions","6","v62305723","1.1.1.1","949862","","","","0"
"1996-04","Canada","2016A000011124","Chained (2017) dollars","Seasonally adjusted at annual rates","Final consumption expenditure","Dollars","81","millions","6","v62305723","1.1.1.1","951156","","","","0"
"1996-07","Canada","2016A000011124","Chained (2017) dollars","Seasonally adjusted at annual rates","Final consumption expenditure","Dollars","81","millions","6","v62305723","1.1.1.1","950113","","","","0"
"1996-10","Canada","2016A000011124","Chained (2017) dollars","Seasonally adjusted at annual rates","Final consumption expenditure","Dollars","81","millions","6","v62305723","1.1.1.1","962242","","","","0"
