date,M.BCPI,M.BCNE,M.ENER,M.MTLS,M.FOPR,M.AGRI,M.FISH,quarter
1972-03-31,100.50333333333333,100.62666666666667,99.94333333333333,100.70666666666666,100.12,101.24333333333334,95.95333333333333,1972Q1
1972-06-30,101.71333333333332,102.09333333333332,100.0,101.11,102.07,103.08666666666666,93.36666666666667,1972Q2
1972-09-30,104.77,105.63333333333333,100.91333333333334,101.54333333333334,105.14666666666666,109.18333333333334,101.46333333333332,1972Q3
1972-12-31,108.2,109.73333333333333,101.46,102.44333333333333,106.98666666666666,117.88,116.53666666666668,1972Q4
1973-03-31,118.01333333333334,121.17,104.52333333333333,113.04666666666667,115.16333333333334,134.49333333333334,116.19333333333333,1973Q1
1973-06-30,129.52333333333334,134.30999999999997,109.45666666666666,129.04666666666665,127.20666666666666,147.98333333333335,107.49333333333334,1973Q2
1973-09-30,146.1833333333333,153.53333333333333,116.35666666666667,144.00333333333333,126.60666666666667,192.47,124.97666666666667,1973Q3
1973-12-31,149.99666666666667,156.01666666666665,124.95666666666666,157.41666666666666,128.02333333333334,187.58666666666667,140.74333333333334,1973Q4
1974-03-31,168.6,167.88333333333333,167.46,175.92,132.80666666666667,204.3166666666667,130.92,1974Q1
1974-06-30,171.78666666666666,169.95333333333335,174.53666666666666,207.25333333333333,144.16666666666666,175.9333333333333,127.47333333333334,1974Q2
1974-09-30,178.99666666666667,173.5533333333333,195.41666666666666,183.28,145.87333333333333,198.83333333333334,132.38666666666666,1974Q3
1974-12-31,179.12333333333333,171.69333333333336,203.71,166.40666666666667,145.49666666666667,206.54999999999998,125.32333333333334,1974Q4
1975-03-31,174.86333333333334,161.19,223.94333333333336,162.41,153.07000000000002,172.96,126.61666666666667,1975Q1
1975-06-30,176.18999999999997,158.83333333333334,239.96,161.33333333333334,158.96333333333334,163.23333333333335,113.18,1975Q2
1975-09-30,186.87333333333333,167.75666666666666,257.44,162.90333333333334,160.60999999999999,182.47666666666666,137.20666666666668,1975Q3
1975-12-31,186.85999999999999,162.73666666666665,279.90000000000003,156.04666666666665,159.36333333333334,175.14,144.70333333333335,1975Q4
1976-03-31,184.2733333333333,159.20333333333335,282.58666666666664,158.97666666666666,154.5533333333333,168.33,159.26,1976Q1
1976-06-30,185.6,160.83,282.34,170.29999999999998,152.88666666666666,167.01333333333332,165.11333333333334,1976Q2
1976-09-30,185.96333333333334,159.9,288.63666666666666,171.26,160.57000000000002,156.09333333333333,185.87333333333333,1976Q3
1976-12-31,181.04,151.08333333333334,303.56,165.95333333333335,158.90333333333334,138.34666666666666,201.8066666666667,1976Q4
1977-03-31,185.4766666666667,155.51666666666668,307.16333333333336,175.59,162.51,140.76333333333332,209.64666666666668,1977Q1
1977-06-30,185.85333333333335,155.62,308.71666666666664,176.22666666666666,161.29333333333332,142.21666666666667,199.39333333333332,1977Q2
1977-09-30,185.14666666666668,154.82333333333335,308.43,169.61666666666667,176.07000000000002,129.92,199.74,1977Q3
1977-12-31,187.5566666666667,153.07333333333335,329.65333333333336,167.77333333333334,166.41666666666666,135.17333333333332,206.88666666666666,1977Q4
1978-03-31,194.65666666666667,159.49333333333334,339.04,171.4,175.70000000000002,140.88333333333333,207.23333333333335,1978Q1
1978-06-30,201.37,166.25333333333333,344.77666666666664,176.33666666666667,174.42999999999998,156.52,207.40666666666667,1978Q2
1978-09-30,202.92,167.06666666666666,349.6366666666667,185.71333333333334,178.43666666666664,148.83666666666667,236.78,1978Q3
1978-12-31,209.72333333333333,174.33666666666667,353.5733333333333,195.01999999999998,186.16333333333333,154.46666666666667,257.0166666666667,1978Q4
1979-03-31,220.08,185.48333333333335,360.0,216.57000000000002,193.59666666666666,164.04333333333332,264.68666666666667,1979Q1
1979-06-30,232.41333333333333,196.71,376.6066666666666,239.80000000000004,198.53,175.9333333333333,261.15333333333336,1979Q2
1979-09-30,248.76333333333332,204.51333333333332,430.02,252.49666666666667,212.60666666666665,175.62333333333333,258.2266666666667,1979Q3
1979-12-31,264.39000000000004,207.86333333333334,504.37999999999994,289.74,203.73666666666668,175.34,260.12,1979Q4
1980-03-31,283.92,215.26666666666665,586.6066666666667,349.0733333333333,198.59333333333333,173.01,268.90333333333336,1980Q1
1980-06-30,276.56333333333333,200.12,631.6,294.1233333333333,190.27333333333334,170.76,226.87666666666667,1980Q2
1980-09-30,296.6933333333333,219.28666666666666,646.98,314.25,202.77,197.17666666666665,232.47000000000003,1980Q3
1980-12-31,298.04333333333335,216.68666666666664,673.8033333333333,300.66,197.60666666666665,203.71666666666667,214.04,1980Q4
1981-03-31,310.0133333333333,212.54666666666665,794.2433333333333,286.18666666666667,199.86333333333334,198.32666666666668,231.52666666666664,1981Q1
1981-06-30,313.14000000000004,210.03666666666666,838.7633333333333,269.92333333333335,203.64,197.0666666666667,245.5666666666667,1981Q2
1981-09-30,306.1933333333333,204.99333333333334,823.44,261.62666666666667,202.0233333333333,190.29666666666665,247.29,1981Q3
1981-12-31,297.20666666666665,196.9,816.9633333333333,250.89666666666665,197.14333333333332,179.92999999999998,252.11,1981Q4
1982-03-31,291.43,192.12666666666667,809.1833333333334,235.38666666666666,195.01333333333332,177.4,261.24,1982Q1
1982-06-30,286.87,192.38,775.91,217.67,193.58,187.42999999999998,258.9166666666667,1982Q2
