quarter,CPI
1992Q1,83.3
1992Q2,83.89999999999999
1992Q3,84.2
1992Q4,84.53333333333335
1993Q1,85.10000000000001
1993Q2,85.36666666666667
1993Q3,85.66666666666667
1993Q4,86.06666666666666
1994Q1,85.53333333333335
1994Q2,85.26666666666667
1994Q3,85.76666666666667
1994Q4,86.10000000000001
1995Q1,86.93333333333334
1995Q2,87.60000000000001
1995Q3,87.76666666666667
1995Q4,87.86666666666667
1996Q1,88.2
1996Q2,88.83333333333333
1996Q3,89.0
1996Q4,89.66666666666667
1997Q1,90.10000000000001
1997Q2,90.23333333333333
1997Q3,90.53333333333335
1997Q4,90.56666666666666
1998Q1,91.09999999999998
1998Q2,91.10000000000001
1998Q3,91.2
1998Q4,91.59999999999998
1999Q1,91.86666666666667
1999Q2,92.56666666666666
1999Q3,93.16666666666667
1999Q4,93.76666666666667
2000Q1,94.36666666666667
2000Q2,94.8
2000Q3,95.66666666666667
2000Q4,96.7
2001Q1,96.93333333333334
2001Q2,98.2
2001Q3,98.23333333333333
2001Q4,97.73333333333333
2002Q1,98.43333333333334
2002Q2,99.5
2002Q3,100.60000000000001
2002Q4,101.46666666666665
2003Q1,102.76666666666667
2003Q2,102.23333333333333
2003Q3,102.76666666666667
2003Q4,103.2
2004Q1,103.7
2004Q2,104.5
2004Q3,104.76666666666667
2004Q4,105.56666666666666
2005Q1,105.96666666666665
2005Q2,106.43333333333334
2005Q3,107.46666666666665
2005Q4,108.0
2006Q1,108.66666666666667
2006Q2,109.13333333333333
2006Q3,109.2
2006Q4,109.5
2007Q1,110.66666666666667
2007Q2,111.43333333333334
2007Q3,111.46666666666665
2007Q4,112.23333333333333
2008Q1,112.60000000000001
2008Q2,114.10000000000001
2008Q3,115.43333333333334
2008Q4,114.3
2009Q1,113.93333333333334
2009Q2,114.2
2009Q3,114.46666666666665
2009Q4,115.2
2010Q1,115.76666666666667
2010Q2,115.76666666666667
2010Q3,116.60000000000001
2010Q4,117.76666666666667
2011Q1,118.60000000000001
2011Q2,119.73333333333333
2011Q3,120.13333333333333
2011Q4,120.89999999999999
2012Q1,121.46666666666665
2012Q2,121.53333333333335
2012Q3,121.60000000000001
2012Q4,122.10000000000001
2013Q1,122.60000000000001
2013Q2,122.39999999999999
2013Q3,122.93333333333334
2013Q4,123.26666666666667
2014Q1,124.23333333333333
2014Q2,125.16666666666667
2014Q3,125.53333333333335
2014Q4,125.7
2015Q1,125.56666666666666
2015Q2,126.3
2015Q3,127.06666666666666
2015Q4,127.3
2016Q1,127.5
2016Q2,128.26666666666668
2016Q3,128.63333333333333
2016Q4,129.1
2017Q1,129.9
2017Q2,129.96666666666667
2017Q3,130.4
2017Q4,131.46666666666667
2018Q1,132.53333333333333
2018Q2,132.93333333333334
2018Q3,133.79999999999998
2018Q4,134.16666666666666
2019Q1,134.73333333333332
2019Q2,135.83333333333334
2019Q3,136.36666666666667
2019Q4,136.93333333333334
2020Q1,137.16666666666666
2020Q2,135.83333333333334
2020Q3,136.79999999999998
2020Q4,138.0
2021Q1,139.33333333333334
2021Q2,140.29999999999998
2021Q3,142.26666666666668
2021Q4,144.53333333333333
2022Q1,147.5
2022Q2,150.9
2022Q3,152.36666666666667
2022Q4,154.06666666666666
2023Q1,155.16666666666666
2023Q2,156.20000000000002
2023Q3,158.0
2023Q4,158.96666666666667
2024Q1,159.63333333333333
2024Q2,160.5
2024Q3,161.26666666666668
2024Q4,162.0
2025Q1,163.23333333333332
2025Q2,163.46666666666667
2025Q3,164.43333333333334
