quarter,Consumption,Government,Investment,Exports,Imports,Consumption_growth,Government_growth,Investment_growth,Exports_growth,Imports_growth
1990-01,599337.0,302683,251583,247653,230451,,,,,
1990-04,592638.0,299097,245503,256667,231011,-1.1177350972825018,-1.1847378280246956,-2.4166974716097633,3.6397701622835177,0.24300176610212443
1990-07,592941.0,305704,238767,255179,226643,0.05112733236816158,2.2089823702678313,-2.743754658802544,-0.5797395068318112,-1.8908190519066226
1990-10,591024.0,309111,230205,248406,223608,-0.32330366764989904,1.114476748750426,-3.585922677756981,-2.6542152763354365,-1.3391104071160398
1991-01,579203.0,307509,232129,243338,224153,-2.000087982890708,-0.5182604307190641,0.8357768076279859,-2.0402083685579275,0.24373009910199084
1991-04,588951.0,313289,229477,254099,228475,1.6830023325155485,1.8796197834860084,-1.1424681965631178,4.4222439569651995,1.928147292251281
1991-07,588667.0,311016,230225,263847,239050,-0.04822132910887733,-0.7255281864348873,0.3259585928001574,3.836300024793493,4.628515154830937
1991-10,592096.0,313447,233427,263412,243633,0.582502501414206,0.7816318131543154,1.3908133347811935,-0.1648682759326392,1.917172139719714
1992-01,592278.0,313952,231808,265729,243333,0.0307382586607563,0.16111176690158935,-0.6935787205421873,0.8796106479583399,-0.12313602837054072
1992-04,594721.0,312184,222221,273246,245926,0.41247522278389237,-0.5631434104576449,-4.135750276090555,2.828821844811813,1.0656178981067077
1992-07,597899.0,312118,226708,277420,250009,0.5343682163569063,-0.021141378161593227,2.019161105386069,1.5275612451783438,1.6602555240194272
1992-10,600089.0,317134,217324,285010,244810,0.3662825995695007,1.6070845000929035,-4.13924519646417,2.735923869944479,-2.079525137095062
1993-01,603297.0,314100,214916,295333,255921,0.5345873695401959,-0.9566933851305803,-1.108023043934403,3.6219781762043546,4.538621788325647
1993-04,605496.0,315441,220024,303793,263966,0.3644970884987053,0.42693409742120547,2.3767425412719367,2.8645630525542254,3.143548204328672
1993-07,609497.0,311795,224794,306126,265491,0.6607805831913005,-1.1558421384664674,2.1679453150565298,0.7679571287027676,0.5777259192471851
1993-10,611041.0,311541,227897,315043,272434,0.25332364228207727,-0.08146378229285656,1.3803749210388183,2.91285287757328,2.6151545626782013
1994-01,621028.0,307003,230849,317103,272298,1.63442387663022,-1.4566301064707354,1.295322009504285,0.6538789942960088,-0.04992034768054321
1994-04,622000.0,310889,238097,339637,284839,0.15651468210773345,1.2657856763614639,3.139714705283536,7.106208392856583,4.605615906102867
1994-07,624718.0,311184,238245,353026,287465,0.43697749196141,0.0948891726629153,0.06215954001940194,3.94215000132494,0.9219243151394219
1994-10,632022.0,309573,239923,367014,301101,1.1691675283888037,-0.5177001388246172,0.7043169846166819,3.9623143904415015,4.743533995442917
1995-01,631780.0,309216,233962,377157,301160,-0.03828980636749746,-0.11532013450785694,-2.4845471255361073,2.763654792460235,0.019594753919771613
1995-04,636625.0,308306,233410,369008,303572,0.7668808762543833,-0.29429266273414134,-0.2359357502500381,-2.160638673019455,0.8009031743923423
1995-07,643556.0,305815,232846,369390,302222,1.0887099941095713,-0.8079635167658084,-0.2416348913928279,0.10352079087716515,-0.44470504526109567
1995-10,643788.0,303017,233966,383332,305453,0.0360496988607073,-0.9149322302699381,0.4810046124906542,3.774330653239133,1.0690816684423954
