quarter,Consumption,Government,Investment,Exports,Imports,CPI,Population,Unemployment_rate,M.BCPI,M.BCNE,M.ENER,M.MTLS,M.FOPR,M.AGRI,M.FISH,GDPC1,TPUQ,TARIFFVOL
1992Q1,592278,313952,231808,265729,243333,83.3,28181477,10.6,246.38666666666663,209.41333333333333,429.4766666666667,260.4666666666667,240.89333333333332,160.76333333333332,599.1666666666666,10236.435,42.22551821816241,0.121544967
1992Q2,594721,312184,222221,273246,245926,83.89999999999999,28269699,11,255.59333333333333,214.20666666666668,459.1366666666667,263.57,243.93666666666664,168.54999999999998,627.2766666666666,10347.429,37.55829240814698,0.094422627
1992Q3,597899,312118,226708,277420,250009,84.2,28371264,11.53333,257,212.63333333333333,474.4333333333333,268.43333333333334,244.69,162.63666666666666,534.9633333333334,10449.673,50.09367368422352,0.082377405
1992Q4,600089,317134,217324,285010,244810,84.53333333333335,28474177,11.73333,254.59333333333333,209.0133333333333,478.2033333333333,246.29,249.17666666666665,162.0533333333333,574.7633333333333,10558.648,53.68237909317869,0.057045196
1993Q1,603297,314100,214916,295333,255921,85.10000000000001,28533602,11.13333,266.45666666666665,228.42666666666665,455.4866666666667,243.97333333333333,301.05,167.42333333333332,672.1566666666666,10576.275,50.74855240487774,0.092414371
1993Q2,605496,315441,220024,303793,263966,85.36666666666667,28600864,11.63333,258.1766666666667,217.08,460.47,241.33666666666667,266.75,169.73,622.9966666666667,10637.847,44.98891959769849,0.157215904
1993Q3,609497,311795,224794,306126,265491,85.66666666666667,28684764,11.43333,248.41,212.20666666666668,427.8133333333333,240.68,253.33,171.9433333333333,519.3333333333334,10688.606,49.90363577842375,0.124290574
1993Q4,611041,311541,227897,315043,272434,86.06666666666666,28786619,11.3,255.88666666666668,225.27666666666664,413.2033333333334,232.75,294.1666666666667,173.71,575.7866666666667,10833.987,72.98869855275687,0.181376719
1994Q1,621028,307003,230849,317103,272298,85.53333333333335,28835772,11.03333,262.62666666666667,238.77666666666667,394.8566666666666,253.54,310.9066666666667,181.12,609.9533333333334,10939.116,46.50241899625869,0.138276122
1994Q2,622000,310889,238097,339637,284839,85.26666666666667,28907448,10.63333,263.33,235.14,412.9166666666667,263.92333333333335,299.84666666666664,174.79666666666665,607.36,11087.361,44.82684417354869,0.110475323
1994Q3,624718,311184,238245,353026,287465,85.76666666666667,29000663,10.13333,262.36,234.95666666666668,408.7033333333334,280.51,305.15333333333336,158.79666666666665,612.1466666666666,11152.176,36.48337116872919,0.078916786
1994Q4,632022,309573,239923,367014,301101,86.10000000000001,29096372,9.766666,264.4433333333333,242.33,390.34,308.87,313.91333333333336,154.5533333333333,607.32,11279.932,47.53468066353746,0.11491351
1995Q1,631780,309216,233962,377157,301160,86.93333333333334,29141902,9.633333,271.6333333333333,252.17666666666665,387.54,316.69666666666666,326.05333333333334,162.25666666666666,686.6633333333333,11319.951,36.72246961,0.237856118
1995Q2,636625,308306,233410,369008,303572,87.60000000000001,29211541,9.5,274.1266666666666,252.45,400.3233333333333,309.56666666666666,325.43,167.70333333333335,681.91,11353.721,52.10588137369001,0.181001743
1995Q3,643556,305815,232846,369390,302222,87.76666666666667,29302311,9.433333,283.31333333333333,270.25666666666666,374.41333333333336,317.41,355.93333333333334,182.1,662.4033333333333,11450.31,31.82466679251986,0.118254354
