quarter,Population,Population_growth
1990-01,27463550,
1990-04,27567161,0.3772673234159418
1990-07,27691138,0.4497271227893229
1990-10,27807591,0.42054248546954387
1991-01,27854861,0.16998955429112783
1991-04,27928837,0.2655766259253678
1991-07,28037420,0.38878453836084237
1991-10,28127327,0.32066787885618453
1992-01,28181477,0.19251740487107316
1992-04,28269699,0.3130495963713953
1992-07,28371264,0.35927160030957417
1992-10,28474177,0.36273674658979793
1993-01,28533602,0.20869786684265534
1993-04,28600864,0.23572908881255294
1993-07,28684764,0.29334778138170314
1993-10,28786619,0.35508397419619087
1994-01,28835772,0.1707494721766345
1994-04,28907448,0.24856625999123416
1994-07,29000663,0.32246014937049594
1994-10,29096372,0.33002348946298277
1995-01,29141902,0.15647999001386914
1995-04,29211541,0.2389651849079799
1995-07,29302311,0.310733350219361
1995-10,29396274,0.32066754052266777
1996-01,29446857,0.17207282800535406
1996-04,29514217,0.22875106840773984
1996-07,29610218,0.32527036038259016
1996-10,29708206,0.3309263038860477
1997-01,29751536,0.1458519575365802
1997-04,29818012,0.22343720337665296
1997-07,29905948,0.29490899661586134
1997-10,29994790,0.297071338450805
1998-01,30028506,0.1124061878746252
1998-04,30080180,0.17208315325445422
1998-07,30155173,0.2493103432226862
1998-10,30231639,0.2535750665400016
1999-01,30260117,0.09419932541534504
1999-04,30314696,0.18036612350176284
1999-07,30401286,0.28563703888042635
1999-10,30492106,0.29873736262340245
2000-01,30525872,0.11073685759848129
2000-04,30594030,0.22327945291784612
2000-07,30685730,0.2997316796773841
2000-10,30783969,0.32014555299808567
2001-01,30824441,0.13147102636439367
2001-04,30910996,0.28079990161054
2001-07,31020855,0.355404271023807
2001-10,31128873,0.3482109052119986
2002-01,31168896,0.12857195311888336
2002-04,31252682,0.2688128575359272
2002-07,31359199,0.3408251490224057
2002-10,31450677,0.2917102570126229
2003-01,31479415,0.0913748215976451
2003-04,31549344,0.22214199342649454
2003-07,31642461,0.29514718277501295
2003-10,31736141,0.29605788247633047
2004-01,31775723,0.12472215824854693
2004-04,31844704,0.2170871139580255
2004-07,31938807,0.2955059654503378
2004-10,32038207,0.31122014043918345
2005-01,32075011,0.11487534243099784
2005-04,32140569,0.20438964151874295
2005-07,32242732,0.3178630720569897
2005-10,32353311,0.34295791063858605
2006-01,32394909,0.12857416664402432
2006-04,32470171,0.2323266288539294
2006-07,32571193,0.31112247607196775
2006-10,32680839,0.33663489083743947
2007-01,32717848,0.11324372669869742
2007-04,32785964,0.20819217694267866
2007-07,32888886,0.31392092055002596
2007-10,33001918,0.34367840856635024
2008-01,33050262,0.14648845561036072
2008-04,33127394,0.23337787760955298
2008-07,33247298,0.361948181012961
2008-10,33372978,0.3780156811540092
2009-01,33427754,0.16413279030718098
2009-04,33512305,0.25293652693507696
2009-07,33630069,0.3514052524886013
2009-10,33758581,0.38213421447337304
2010-01,33809016,0.14939905205137993
2010-04,33890461,0.24089728018112933
2010-07,34005902,0.3406297718995255
2010-10,34132531,0.37237359561879124
2011-01,34166633,0.09991055160838425
2011-04,34230555,0.18708896483887738
2011-07,34339221,0.31745322271286014
2011-10,34457713,0.3450631567908813
2012-01,34516032,0.16924802873596878
2012-04,34592192,0.22065108758735352
2012-07,34713395,0.35037675554068226
2012-10,34834973,0.3502336778065107
2013-01,34881794,0.13440802724320466
2013-04,34956567,0.2143611076884433
2013-07,35080992,0.35594170331427755
2013-10,35209597,0.36659453643728135
2014-01,35247023,0.10629488318198987
2014-04,35320540,0.20857648034557918
2014-07,35434066,0.32141637698630543
2014-10,35555305,0.3421537906488137
2015-01,35571043,0.044263436918901
2015-04,35606734,0.10033723216944512
2015-07,35704498,0.27456604135611684
2015-10,35823591,0.33355181187535443
2016-01,35871484,0.13369123156861118
2016-04,35970407,0.2757705814457001
2016-07,36110803,0.3903097343324502
2016-10,36257421,0.4060225412323204
2017-01,36313068,0.15347754601739982
2017-04,36397141,0.23152271242958822
2017-07,36545075,0.4064440116326784
2017-10,36722075,0.48433338828830497
2018-01,36801579,0.21650192697444393
2018-04,36903671,0.2774120099575006
2018-07,37072620,0.4578108232105249
2018-10,37259485,0.5040512378137851
2019-01,37336956,0.20792289533793085
2019-04,37437243,0.2685998290808733
2019-07,37618495,0.4841488995330101
2019-10,37828162,0.5573508456412135
2020-01,37928208,0.2644749168622118
2020-04,38006941,0.2075842866080091
2020-07,38028638,0.05708694104058498
2020-10,38027406,-0.003239663750254085
2021-01,38058291,0.08121774069995702
2021-04,38140918,0.21710643812145047
2021-07,38239864,0.25942217751548924
2021-10,38460257,0.5763435769541525
2022-01,38565380,0.27332890677251864
2022-04,38693009,0.3309418965922184
2022-07,38950132,0.6645205597734627
2022-10,39284491,0.8584284130282338
2023-01,39501329,0.5519684600215458
2023-04,39727297,0.5720516390727015
2023-07,40049088,0.8099997339360954
2023-10,40467722,1.0453022051338579
2024-01,40724526,0.6345897107823406
2024-04,40990297,0.652606736294481
2024-07,41262329,0.6636497413034181
2024-10,41494132,0.5617787595072476
2025-01,41574517,0.19372618759683213
2025-04,41604555,
2025-07,41651653
