quarter,population_quarterly
1990Q1,54869230
1990Q2,55075850
1990Q3,55323339
1990Q4,55555891
1991Q1,55650011
1991Q2,55797448
1991Q3,56074840
1991Q4,56254654
1992Q1,56362954
1992Q2,56539398
1992Q3,56742528
1992Q4,56948354
1993Q1,57067204
1993Q2,57201728
1993Q3,57369528
1993Q4,57573238
1994Q1,57671544
1994Q2,57814896
1994Q3,58001326
1994Q4,58192744
1995Q1,58283804
1995Q2,58423082
1995Q3,58604622
1995Q4,58792548
1996Q1,58893714
1996Q2,59028434
1996Q3,59220436
1996Q4,59416412
1997Q1,59503072
1997Q2,59636024
1997Q3,59811896
1997Q4,59989580
1998Q1,60057012
1998Q2,60160360
1998Q3,60310346
1998Q4,60463278
1999Q1,60520234
1999Q2,60629392
1999Q3,60802572
1999Q4,60984212
2000Q1,61051744
2000Q2,61188060
2000Q3,61371460
2000Q4,61567938
2001Q1,61648882
2001Q2,61821992
2001Q3,62041710
2001Q4,62257746
2002Q1,62337792
2002Q2,62505364
2002Q3,62718398
2002Q4,62901354
2003Q1,62958830
2003Q2,63098688
2003Q3,63284922
2003Q4,63472282
2004Q1,63551446
2004Q2,63689408
2004Q3,63877614
2004Q4,64076414
2005Q1,64150022
2005Q2,64281138
2005Q3,64485464
2005Q4,64706622
2006Q1,64789818
2006Q2,64940342
2006Q3,65142386
2006Q4,65361678
2007Q1,65435696
2007Q2,65571928
2007Q3,65777772
2007Q4,66003836
2008Q1,66100524
2008Q2,66254788
2008Q3,66494596
2008Q4,66745956
2009Q1,66855508
2009Q2,67024610
2009Q3,67260138
2009Q4,67517162
2010Q1,67618032
2010Q2,67780922
2010Q3,68011804
2010Q4,68265062
2011Q1,68333266
2011Q2,68461110
2011Q3,68678442
2011Q4,68915426
2012Q1,69032064
2012Q2,69184384
2012Q3,69426790
2012Q4,69669946
2013Q1,69763588
2013Q2,69913134
2013Q3,70161984
2013Q4,70419194
2014Q1,70494046
2014Q2,70641080
2014Q3,70868132
2014Q4,71110610
2015Q1,71142086
2015Q2,71213468
2015Q3,71408996
2015Q4,71647182
2016Q1,71742968
2016Q2,71940814
2016Q3,72221606
2016Q4,72514842
2017Q1,72626136
2017Q2,72794282
2017Q3,73090150
2017Q4,73444150
2018Q1,73603158
2018Q2,73807342
2018Q3,74145240
2018Q4,74518970
2019Q1,74673912
2019Q2,74874486
2019Q3,75236990
2019Q4,75656324
2020Q1,75856416
2020Q2,76013882
2020Q3,76057276
2020Q4,76054812
2021Q1,76116582
2021Q2,76281836
2021Q3,76479728
2021Q4,76920514
2022Q1,77130760
2022Q2,77386018
2022Q3,77900264
2022Q4,78568982
2023Q1,79002658
2023Q2,79454594
2023Q3,80098176
2023Q4,80935444
2024Q1,81449052
2024Q2,81980594
2024Q3,82524658
2024Q4,82988264
2025Q1,83149034
